"","DMA","Dota.2","League.of.Legends","Fortnite","Overwatch","Call.of.Duty","CSGo","HotS","Starcraft","Halo.5","Trump.2016.Vote."
"180","North Platte NE",50,NA,83,8,9,NA,NA,NA,NA,77.35
"181","Twin Falls ID",50,3,76,13,8,NA,NA,74,26,62.85
"182","Ottumwa IA-Kirksville MO",50,5,74,13,8,NA,NA,77,23,63.52
"183","Bangor ME",50,4,73,14,9,NA,17,59,24,50.99
"184","Presque Isle ME",50,NA,74,16,10,NA,NA,NA,NA,55.54
"185","Jackson TN",50,3,77,9,11,NA,NA,50,50,68
"186","Sherman TX-Ada OK",50,3,73,14,10,NA,27,45,28,75.05
"187","Dothan AL",50,4,72,13,11,NA,19,39,42,73.61
"188","Alpena MI",50,NA,78,12,10,NA,NA,NA,NA,63.61
"189","Billings, MT",50,3,76,12,9,NA,11,56,33,63.77
"190","Grand Junction-Montrose CO",50,4,72,14,10,NA,NA,63,37,64.91
"191","San Angelo TX",50,3,72,14,11,NA,53,21,26,74.12
"192","Panama City FL",50,3,76,13,8,NA,12,60,28,72.62
"193","Great Falls MT",50,3,72,14,11,NA,NA,78,22,59.38
"194","Montgomery (Selma) AL",50,2,77,11,10,NA,13,56,31,50.2
"195","Monroe LA-El Dorado AR",50,3,76,10,11,NA,10,43,47,63.82
"196","Alexandria LA",50,4,72,11,13,NA,NA,52,48,69.64
"197","Meridian MS",50,NA,79,9,12,NA,NA,NA,NA,58.93
"198","Odessa-Midland TX",50,2,75,12,11,NA,10,44,46,70.44
"199","Albany GA",50,2,77,10,11,NA,NA,51,49,59.12
"200","Beaumont-Port Arthur TX",50,3,73,13,11,NA,22,53,25,64.65
"201","Bend OR",50,3,74,15,8,NA,18,43,39,46.36
"202","Casper-Riverton WY",50,3,72,13,12,NA,NA,61,39,71.09
"203","Fairbanks AK",50,6,61,22,11,NA,NA,68,32,NA
"204","Lake Charles LA",50,2,74,13,11,NA,NA,58,42,68.47
"205","Juneau AK",50,6,66,19,9,NA,NA,100,NA,NA
"206","Cheyenne WY-Scottsbluff NE",50,4,71,13,12,NA,NA,72,28,64.88
"207","Hattiesburg-Laurel MS",50,3,73,12,12,NA,13,39,48,65.41
"208","Glendive MT",50,NA,100,NA,NA,NA,NA,NA,NA,77.21
"209","Greenwood-Greenville MS",50,NA,80,9,11,NA,NA,NA,NA,38.45
"210","Helena MT",50,NA,72,20,8,NA,NA,100,NA,51.48
