"","DMA","Far.Cry.5","Monster.Hunter.World","Call.of.Duty.WW2","Dragon.Ball.Fighterz","God.of.War","Trump.2016.Vote."
"111","LosAngelesCA",32,58,34,17,73,31.7
"112","BatonRougeLA",39,60,30,15,71,54.96
"113","BuffaloNY",43,54,41,8,69,51.79
"114","OdessaMidlandTX",47,50,36,13,69,70.44
"115","JohnstownAltoonaPA",50,54,43,6,63,66.3
"116","YoungstownOH",47,52,50,8,58,53.17
"117","ColumbusTupeloWestPointMS",47,52,39,10,67,63.82
"118","CincinnatiOH",45,58,39,8,65,57.57
"119","ColumbiaJeffersonCityMO",56,58,32,8,60,45.53
"120","BendOR",58,76,30,NA,52,46.36
"121","OrlandoDaytonaBeachMelbourneFL",36,63,30,15,71,49.22
"122","AlbanySchenectadyTroyNY",47,56,36,10,65,44.11
"123","HuntsvilleDecaturFlorenceAL",54,58,32,10,60,67.73
"124","GreenvilleSpartanburgSCAshevilleNCAndersonSC",45,56,36,10,67,61.19
"125","JuneauAK",67,67,28,NA,54,NA
"126","HarrisburgLancasterLebanonYorkPA",50,58,36,8,63,59.18
"127","KansasCityMO",45,60,34,10,65,49.73
"128","AustinTX",45,63,28,10,69,40.01
"129","LittleRockPineBluffAR",50,56,36,10,63,58.17
"130","DenverCO",50,58,32,6,69,40.73
"131","LafayetteLA",45,56,32,15,67,66.55
"132","UticaNY",47,56,45,6,60,57.47
"133","SouthBendElkhartIN",43,63,41,8,60,58.42
"134","DuluthMNSuperiorWI",65,60,30,4,56,44.08
"135","LincolnHastingsKearneyNE",50,56,36,8,65,63.22
"136","ClevelandAkronCantonOH",43,56,41,10,65,46.14
"137","HarlingenWeslacoBrownsvilleMcAllenTX",28,63,39,15,71,29
"138","RochesterNY",45,63,34,10,63,44.07
"139","TallahasseeFLThomasvilleGA",36,65,32,13,69,48.52
"140","ParkersburgWV",65,63,36,NA,52,69.63
"141","TraverseCityCadillacMI",54,67,34,4,56,59.97
"142","SpringfieldHolyokeMA",43,60,34,13,65,34.52
"143","ProvidenceRINewBedfordMA",45,56,36,13,65,40.21
"144","TylerLongviewLufkinNacogdochesTX",43,60,36,10,65,72.8
"145","MaconGA",39,65,32,13,67,54.2
"146","ShreveportLA",45,58,32,15,65,63.05
"147","BaltimoreMD",41,60,32,15,67,39.28
"148","IndianapolisIN",47,54,41,10,63,54.95
"149","NashvilleTN",47,56,36,8,67,60.71
"150","TulsaOK",45,63,30,8,69,65.59
"151","RichmondPetersburgVA",43,56,39,13,65,44.06
"152","BinghamtonNY",56,58,36,6,58,53.49
"153","NewOrleansLA",36,56,32,17,73,53.67
"154","SyracuseNY",45,60,41,6,63,43.45
"155","PeoriaBloomingtonIL",45,63,36,8,63,52.81
"156","RaleighDurhamFayettevilleNC",43,58,34,10,69,40.6
"157","PhiladelphiaPA",39,56,36,15,69,36.61
"158","TampaStPetersburgSarasotaFL",39,65,30,13,69,52.1
"159","FtWayneIN",47,58,45,6,58,64.98
"160","PortlandOR",52,67,28,8,60,36.85
"161","BangorME",58,60,32,8,56,50.99
"162","OmahaNE",45,60,36,6,67,55.34
"163","MadisonWI",47,65,36,6,60,32.97
"164","SiouxFallsMitchellSD",54,65,39,6,52,61.41
"165","SanFranciscoOaklandSanJoseCA",36,65,26,13,76,18.56
"166","GreensboroHighPointWinstonSalemNC",43,60,34,13,65,54.19
"167","MontereySalinasCA",41,65,28,17,65,22.95
"168","ColumbiaSC",43,63,34,13,63,61.12
"169","MemphisTN",41,52,36,15,71,47.36
"170","PortlandAuburnME",54,63,28,4,67,42.97
"171","HartfordNewHavenCT",45,58,34,13,65,41.93
"172","PittsburghPA",50,58,41,8,58,52.24
"173","MinneapolisStPaulMN",47,65,34,8,60,44.33
"174","MontgomerySelmaAL",36,50,43,17,69,50.2
